Symbol,Name,Country,IPO Year,Sector,Industry
MQ,Marqeta Inc. Class A Common Stock,United States,2021,Technology,Computer Software: Prepackaged Software
MQT,Blackrock MuniYield Quality Fund II Inc. Common Stock,United States,1992,Finance,Investment Bankers/Brokers/Service
MQY,Blackrock MuniYield Quality Fund Inc. Common Stock,United States,1992,Finance,Investment Bankers/Brokers/Service
MRAI,Marpai Inc. Class A Common Stock,United States,2021,Health Care,Managed Health Care
MRAM,Everspin Technologies Inc. Common Stock,United States,2016,Technology,Semiconductors
MRBK,Meridian Corporation Common Stock,United States,2017,Finance,Major Banks
MRC,MRC Global Inc. Common Stock,United States,2012,Industrials,Industrial Machinery/Components
MRCC,Monroe Capital Corporation Common Stock,United States,2012,Finance,Investment Managers
MRCY,Mercury Systems Inc Common Stock,United States,1998,,
MRDB,MariaDB plc Ordinary Shares,United States,2022,Finance,Blank Checks
MRNA,Moderna Inc. Common Stock,United States,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MRNS,Marinus Pharmaceuticals Inc. Common Stock,United States,2014,Health Care,Biotechnology: Pharmaceutical Preparations
MRSN,Mersana Therapeutics Inc. Common Stock,United States,2017,Health Care,Biotechnology: Pharmaceutical Preparations
MRTN,Marten Transport Ltd. Common Stock,United States,1986,Industrials,Trucking Freight/Courier Services
MRVI,Maravai LifeSciences Holdings Inc. Class A Common Stock,United States,2020,Health Care,Biotechnology: Pharmaceutical Preparations
MRVL,Marvell Technology Inc. Common Stock,United States,2000,Technology,Semiconductors
MSA,MSA Safety Incorporated Common Stock,United States,2000,Health Care,Industrial Specialties
MSBI,Midland States Bancorp Inc. Common Stock,United States,2016,Finance,Major Banks
MSD,Morgan Stanley Emerging Markets Debt Fund Inc. Common Stock,United States,1993,Finance,Trusts Except Educational Religious and Charitable
MSFT,Microsoft Corporation Common Stock,United States,1986,Technology,Computer Software: Prepackaged Software
MSGE,Madison Square Garden Entertainment Corp. Class A Common Stock,United States,2023,Consumer Discretionary,Services-Misc. Amusement & Recreation
MSGM,Motorsport Games Inc. Class A Common Stock,United States,2021,Technology,Computer Software: Prepackaged Software
MSGS,Madison Square Garden Sports Corp. Class A Common Stock (New),United States,2015,Consumer Discretionary,Services-Misc. Amusement & Recreation
MSM,MSC Industrial Direct Company Inc. Common Stock,United States,1995,Industrials,Industrial Machinery/Components
MSN,Emerson Radio Corporation Common Stock,United States,1994,Consumer Staples,Consumer Electronics/Appliances
MSSA,Metal Sky Star Acquisition Corporation Ordinary shares,United States,2022,Finance,Blank Checks
MSSAR,Metal Sky Star Acquisition Corporation Right,United States,2022,Finance,Blank Checks
MSSAU,Metal Sky Star Acquisition Corporation Unit,United States,2022,Finance,Blank Checks
MSSAW,Metal Sky Star Acquisition Corporation Warrant,United States,2022,Finance,Blank Checks
MSTR,MicroStrategy Incorporated Common Stock Class A,United States,1998,Technology,Computer Software: Prepackaged Software
MTDR,Matador Resources Company Common Stock,United States,2012,Energy,Oil & Gas Production
MTEM,Molecular Templates Inc. Common Stock,United States,2005,Health Care,Biotechnology: Pharmaceutical Preparations
MTG,MGIC Investment Corporation Common Stock,United States,1991,Finance,Property-Casualty Insurers
MTN,Vail Resorts Inc. Common Stock,United States,1997,Consumer Discretionary,Services-Misc. Amusement & Recreation
MTNB,Matinas Biopharma Holdings Inc. Common Stock,United States,2017,Health Care,Biotechnology: Pharmaceutical Preparations
MTRX,Matrix Service Company Common Stock,United States,1990,Consumer Discretionary,Engineering & Construction
MTRY,Monterey Innovation Acquisition Corp. Common Stock,United States,2021,Finance,Blank Checks
MTSI,MACOM Technology Solutions Holdings Inc. Common Stock,United States,2012,Technology,Semiconductors
MTTR,Matterport Inc. Class A Common Stock,United States,2021,Technology,Computer Software: Prepackaged Software
MTX,Minerals Technologies Inc. Common Stock,United States,1992,Industrials,Major Chemicals
MUA,Blackrock MuniAssets Fund Inc Common Stock,United States,1993,Finance,Investment Bankers/Brokers/Service
MUC,Blackrock MuniHoldings California Quality Fund Inc.  Common Stock,United States,1998,Finance,Investment Bankers/Brokers/Service
MUI,BlackRock Municipal Income Fund Inc. Common Stock,United States,2003,Finance,Investment Bankers/Brokers/Service
MUJ,Blackrock MuniHoldings New Jersey Quality Fund Inc. Common Stock,United States,1998,Finance,Investment Bankers/Brokers/Service
MURF,Murphy Canyon Acquisition Corp. Class A Common Stock,United States,2022,Health Care,Biotechnology: Pharmaceutical Preparations
MURFU,Murphy Canyon Acquisition Corp. Unit,United States,2022,Health Care,Biotechnology: Pharmaceutical Preparations
MURFW,Murphy Canyon Acquisition Corp. Warrant,United States,2022,Health Care,Biotechnology: Pharmaceutical Preparations
MUSA,Murphy USA Inc. Common Stock,United States,2013,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
MVF,Blackrock MuniVest Fund Inc. Common Stock,United States,1988,Finance,Investment Bankers/Brokers/Service
MVIS,MicroVision Inc. Common Stock,United States,1996,Technology,Industrial Machinery/Components
MVLA,Movella Holdings Inc. Common Stock,United States,2021,Technology,EDP Services
MVO,MV Oil Trust Units of Beneficial Interests,United States,2007,Energy,Oil & Gas Production
MVST,Microvast Holdings Inc. Common Stock,United States,2019,Miscellaneous,Industrial Machinery/Components
MVSTW,Microvast Holdings Inc. Warrants,United States,2019,Industrials,Industrial Machinery/Components
MVT,Blackrock MuniVest Fund II Inc.  Common Stock,United States,1993,Finance,Investment Bankers/Brokers/Service
